NAME,FID,SID,DTG,TEMP,SENSOR8,SENSOR16,SENSOR24,DATE
SMS2001,20,1,2016-06-14 16:03:50,-459.67,3.446519810212708,3.4869746860542636,3.4153265647215214,06-14
SMS2001,20,1,2016-07-06 13:51:20,82.04378142216892,19.008478403668434,33.143650891924466,80.0,07-06
SMS2001,20,1,2016-07-06 15:51:29,80.46665481635785,15.43446884358498,30.26800792842685,80.0,07-06
SMS2001,20,1,2016-07-06 17:51:29,77.459448161733,15.556944435499036,27.124307193881574,80.0,07-06
SMS2001,20,1,2016-07-06 19:51:29,79.18977922143073,15.712473970487544,23.29806454586513,80.0,07-06
SMS2001,20,1,2016-07-06 21:51:29,84.5212959710121,15.556944435499036,21.399702264787702,80.0,07-06
SMS2001,20,1,2016-07-06 23:51:29,76.6559305411202,15.838845677779013,19.008478403668434,80.0,07-06
SMS2001,20,1,2016-07-07 01:51:28,70.41456672576278,15.106581521985705,18.445467234277718,80.0,07-07
SMS2001,20,1,2016-07-07 03:51:28,67.55362720689432,15.495490223454778,17.018187522266743,80.0,07-07
SMS2001,20,1,2016-07-07 05:51:28,66.43551141356531,15.43446884358498,16.633362310397935,80.0,07-07
SMS2001,20,1,2016-07-07 07:51:28,65.3748216771164,15.254000448601387,15.404120433911546,80.0,07-07
SMS2001,20,1,2016-07-07 11:51:27,70.86487761853407,14.819827863233172,16.462721879622073,80.0,07-07
SMS2001,20,1,2016-07-07 13:51:27,79.07404452291328,14.848019201517339,14.763767171266608,80.0,07-07
SMS2001,20,1,2016-07-07 15:51:27,83.5147552427752,14.489885021464822,14.652931839804088,80.0,07-07
SMS2001,20,1,2016-07-07 17:51:27,85.59291383545876,14.625490515571306,14.07376572679282,80.0,07-07
SMS2001,20,1,2016-07-07 19:51:26,85.0563317048392,14.7081353505244,14.990588240983893,80.0,07-07
SMS2001,20,1,2016-07-07 21:51:26,82.2784258795865,14.570928339640579,13.85150717065246,80.0,07-07
SMS2001,20,1,2016-07-07 23:51:26,78.20778747203157,14.791743874668024,13.107385593103693,80.0,07-07
SMS2001,20,1,2016-07-08 01:51:26,73.97488550127534,14.848019201517339,13.779288967013073,80.0,07-08
SMS2001,20,1,2016-07-08 03:51:21,71.09021094775744,14.598156042238195,13.277749431517243,80.0,07-08
SMS2001,20,1,2016-07-08 05:51:21,69.45914253282112,14.304504490681154,13.568182843055036,80.0,07-08
SMS2001,20,1,2016-07-08 07:51:25,68.22542349684514,14.252491836914404,13.409686046365474,80.0,07-08
SMS2001,20,1,2016-07-08 09:51:25,67.44173231758104,13.803258443763065,12.765975129819305,76.57045578331402,07-08
SMS2001,20,1,2016-07-08 11:51:25,68.16941150109058,13.85150717065246,12.32984524743408,75.51797180670134,07-08
SMS2001,20,1,2016-07-08 13:51:25,71.59766223984995,13.660984435876534,13.086531747403555,80.0,07-08
SMS2001,20,1,2016-07-15 05:58:36,70.1333553539379,13.343268433892597,10.629544119935844,57.08270985799647,07-15
SMS2001,20,1,2016-07-18 09:58:32,70.07713397819248,13.149386478033511,10.670376207680471,53.633376534346134,07-18
SMS2001,20,1,2016-07-18 11:58:32,71.54124721136284,12.863523712710958,10.746335494647786,53.952614959443515,07-18
SMS2001,20,1,2016-07-18 13:58:32,77.11478749347052,13.277749431517243,10.678656615612915,53.178804192972706,07-18
